team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
90+7;44;23;52.27;52347;1189.7;107;2.43;87;1.98;202;4.59;364;8.27;360;8.18;100;2.27;29.4;1196.57;143.97;336140;7639.55;235059;5342.25;101081;2297.3;2821;64.11;8818;200.41;76656;1742.18;44724;1016.45;31932;725.73;526;11.95;2748;62.45;5991.03;136.16;5286.23;120.14;38532;875.73;46586;1058.77;7276;165.36;74710952;1697976.12;22299.35;506.8;20256.69;460.38;8098.22;184.05;26824.44;609.65;19971.7;453.9;3858.23;87.69;847.94;19.27;0;8049;182.93;35918.41;816.33;14735.85;334.91;31618.62;718.6;19035.75;432.63;22844.71;519.2;16666.65;378.79;11142.94;253.25;8331.86;7935.64;8735.86;144;3.27;179;4.07
KINOTROPE;76;43;56.58;84880;1116.84;194;2.55;155;2.04;293;3.86;651;8.57;537;7.07;175;2.3;29.8;1226.96;145.32;563974;7420.71;383454;5045.45;180520;2375.26;4653;61.22;15874;208.87;148353;1952.01;83685;1101.12;64668;850.89;1003;13.2;5600;73.68;10189.75;134.08;6777.02;89.17;71675;943.09;78168;1028.53;15418;202.87;121626736;1600351.75;36356.12;478.37;33748.45;444.06;13055.06;171.78;46996.38;618.37;30943.48;407.15;5219.84;68.68;1527.96;20.1;0;14303;188.2;58582.32;770.82;24577.5;323.39;50575.98;665.47;32583.42;428.73;36562.43;481.08;27083.9;356.37;19513.34;256.75;8488.16;8127.41;8826.01;389;5.12;285;3.75
ELEVATE;91;53;58.24;106119;1166.14;221;2.43;165;1.81;415;4.56;747;8.21;682;7.49;178;1.96;29.59;1197.31;153.16;664608;7303.38;470383;5169.04;194225;2134.34;5842;64.2;17170;188.68;157349;1729.11;95021;1044.19;62328;684.92;1146;12.59;5480;60.22;10079.78;110.77;11398.37;125.26;75249;826.91;113589;1248.23;20116;221.05;144531040;1588253.12;46217.53;507.88;36982;406.4;16570.45;182.09;52135.2;572.91;40259.75;442.41;7375.04;81.04;2234.44;24.55;0;22153;243.44;71234.68;782.8;28535.45;313.58;62978.59;692.07;36791.45;404.3;45934.9;504.78;32574.22;357.96;21260.88;233.64;8470.49;8124.26;8843.43;343;3.77;337;3.7
ELEOROO;9;3;33.33;8943;993.67;19;2.11;14;1.56;33;3.67;71;7.89;65;7.22;23;2.56;26.76;1249.44;146.55;64828;7203.11;42860;4762.22;21968;2440.89;518;57.56;1932;214.67;14587;1620.78;8027;891.89;6560;728.89;97;10.78;568;63.11;1006.66;111.85;826.19;91.8;8482;942.44;8104;900.44;1440;160;13967456;1551939.5;4107.12;456.35;3762.26;418.03;1575.37;175.04;5366.22;596.25;3500.2;388.91;578.33;64.26;316.27;35.14;0;2309;256.56;6480.18;720.02;2964.57;329.4;5955.72;661.75;3489.05;387.67;4321.03;480.11;3087.96;343.11;2035.79;226.2;8404;8076.89;8752.89;37;4.11;35;3.89
PRAISE;9;3;33.33;9171;1019;14;1.56;11;1.22;49;5.44;42;4.67;87;9.67;27;3;33.33;1191.67;136.24;61274;6808.22;40364;4484.89;20910;2323.33;471;52.33;1838;204.22;11793;1310.33;6450;716.67;5343;593.67;74;8.22;461;51.22;1185.77;131.75;677.36;75.26;6705;745;6965;773.89;878;97.56;13722173;1524685.88;4108.53;456.5;3698.71;410.97;1518.04;168.67;4988.08;554.23;3764.95;418.33;572.19;63.58;236.77;26.31;0;2555;283.89;6532.96;725.88;2792.23;310.25;6533.67;725.96;2791.61;310.18;4984.21;553.8;2852.08;316.9;1488.97;165.44;8375.33;7959.56;8664.56;20;2.22;22;2.44
EXECUTIONERS;22;14;63.64;24953;1134.23;53;2.41;40;1.82;98;4.45;203;9.23;168;7.64;39;1.77;26.11;1157.64;138.96;149062;6775.55;99293;4513.32;49769;2262.23;1179;53.59;4299;195.41;33521;1523.68;17788;808.55;15733;715.14;209;9.5;1363;61.95;3176.6;144.39;1708.29;77.65;15333;696.95;17319;787.23;2689;122.23;34255808;1557082.12;10326.01;469.36;9667.94;439.45;3383.18;153.78;12734.97;578.86;9198.84;418.13;1443.32;65.61;587.2;26.69;0;5395;245.23;16358.33;743.56;7018.77;319.03;14642.54;665.57;8734.56;397.03;10804.97;491.14;7432.39;337.84;5139.82;233.63;8208.14;7853.5;8539.14;77;3.5;82;3.73
SENZA ESPORTS;48;17;35.42;50504;1052.17;98;2.04;73;1.52;204;4.25;362;7.54;402;8.38;130;2.71;27.07;1286.58;135.89;377402;7862.54;262282;5464.21;115120;2398.33;3026;63.04;9686;201.79;79575;1657.81;46582;970.46;32993;687.35;537;11.19;2735;56.98;7756.75;161.6;4556.52;94.93;42544;886.33;37621;783.77;6653;138.6;77891376;1622737;24549.49;511.45;20714.74;431.56;8458.4;176.22;28591.78;595.66;21479.45;447.49;3651.28;76.07;1354.52;28.22;0;12398;258.29;39129.98;815.21;14592.52;304.01;35114.87;731.56;18607.64;387.66;25974.8;541.14;17155.07;357.4;10592.69;220.68;8522.04;8173.54;8829.35;139;2.9;177;3.69
BLUE TORCH;32;15;46.88;33563;1048.84;66;2.06;49;1.53;135;4.22;233;7.28;266;8.31;81;2.53;28.33;1201;148.63;225102;7034.44;154103;4815.72;70999;2218.72;1799;56.22;6260;195.62;44823;1400.72;24903;778.22;19920;622.5;285;8.91;1737;54.28;3862.24;120.69;3410.79;106.59;22270;695.94;26457;826.78;3816;119.25;48189620;1505925.62;16216.16;506.75;13292.13;415.38;4517.05;141.16;18821.41;588.17;12963.3;405.1;2240.57;70.02;618.2;19.32;0;5806;181.44;24670.05;770.94;9355.25;292.35;22581.27;705.66;11444.1;357.63;16702.08;521.94;10854.49;339.2;6468.71;202.15;8552.81;8194.47;8876.66;90;2.81;108;3.38
CRAZYBOYS;10;4;40.00;10230;1023;18;1.8;14;1.4;41;4.1;91;9.1;70;7;18;1.8;19.78;1212.3;146.55;70806;7080.6;46880;4688;23926;2392.6;556;55.6;2096;209.6;16700;1670;9614;961.4;7086;708.6;108;10.8;620;62;1367.92;136.79;935.15;93.51;10903;1090.3;9175;917.5;1236;123.6;15745404;1574540.38;4354.88;435.49;4206.94;420.69;1847.04;184.7;5681.43;568.14;4054.27;405.43;673.13;67.31;176.72;17.67;0;1697;169.7;7583.69;758.37;2825.17;282.52;6498.25;649.82;3910.61;391.06;4684.89;468.49;3553.57;355.36;2170.39;217.04;8571.2;8196.6;8877.5;31;3.1;21;2.1
360;3;0;0.00;2807;935.67;4;1.33;3;1;14;4.67;24;8;27;9;12;4;16.67;1380.67;137.75;24045;8015;17484;5828;6561;2187;200;66.67;544;181.33;3902;1300.67;2105;701.67;1797;599;24;8;144;48;432.5;144.17;357.52;119.17;4105;1368.33;2663;887.67;348;116;4824460;1608153.38;1262.38;420.79;1276.41;425.47;640.67;213.56;1728.6;576.2;1241.2;413.73;209.63;69.88;82.7;27.57;0;736;245.33;2203.93;734.64;975.51;325.17;2067.61;689.2;1111.83;370.61;1500.46;500.15;1042.69;347.56;636.31;212.1;8499.33;8342.67;8639.67;10;3.33;11;3.67
AL7ANKALEES;8;2;25.00;9860;1232.5;20;2.5;14;1.75;47;5.88;72;9;92;11.5;30;3.75;27.78;1273.62;137.7;52780;6597.5;32854;4106.75;19926;2490.75;423;52.88;1250;156.25;10709;1338.62;5113;639.12;5596;699.5;67;8.38;342;42.75;1133.21;141.65;793.54;99.19;8221;1027.62;5917;739.62;976;122;11776460;1472057.5;3213.46;401.68;2992.7;374.09;1595.84;199.48;3984.78;498.1;3257.71;407.21;559.54;69.94;158.17;19.77;0;1170;146.25;5471.01;683.88;2331;291.38;5266.24;658.28;2535.74;316.97;3967.01;495.88;2395.18;299.4;1439.79;179.97;7362.25;7035.12;7723.12;29;3.62;28;3.5
